제휴사 코드,상품 코드,상품명,이미지 URL,Nothing, 대분류 카테고리명,중분류 카테고리명,소분류 카테고리명,세분류 카테고리명,제조사
980465,ED903,1545514069,바풀 [바풀] SN 181104 풍기인견 속바지 3부 훌라바지 (100 사이즈),http://image2.lotteimall.com/goods/69/40/51/1545514069_1.jpg,0,의류,언더웨어,내의/내복,없음,에스비아이이너웨어
2150278,TH201,3066034178,[흄(HUM)] W몰 HUM 여성 다이아 퀼팅 경량 다운조끼 FHOWCVE542,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/0/3/4/1/7/8/OglTa/3066034178_B.jpg,42250,의류,상의,조끼,여성,해당없음
3226523,EE715,B418199053,엠씨엔 MCN 버블 라이딩 스커트,http://image.auction.co.kr/itemimage/17/09/fa/1709fa5c50.jpg,33190,의류,하의,스포츠스커트,자전거의류,[불명]
820951,ED903,1550884589,캘빈클라인 언더웨어 여성 CK블랙 스프링 로즈 AF 푸쉬업 발코넷 세트 QF5900AD_QF5903AD_101,http://image2.lotteimall.com/goods/89/45/88/1550884589_1.jpg,163340,의류,언더웨어,여성 세트,없음,PVH코리아c
1155215,EE128,1803401368,발렌시아가 발렌시아가 570811 THV78 1300 남성 B..(570811 THV78 130002),http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/180/340/1803401368.jpg?ver=10759942891,0,의류,상의,티셔츠,남성,기타
2719205,EE715,B817595145,Burberry 버버리 8022731 W OXCLOSE 524 여성 옥스클,http://image.auction.co.kr/itemimage/1d/ea/56/1dea565da0.jpg,863520,의류,아우터,코트,여성,없음
818167,ED905,90959630,[FILA] 백화점 동일 상품여성 브라 브리프 FI4BAA1041F_SETBF_RED (FILA_FI4BAA1041F_SETBF_RED_),https://photo.akmall.com/image0/goods/90/95/96/30/90959630_M_500.jpg,21660,의류,언더웨어,여성 세트,없음,㈜휠라코리아
4526886,EE715,B826345202,나이키 NSW 클럽  브러시트 백 플리스 조거 팬츠 남색 BV2671-410_Y,http://image.auction.co.kr/itemimage/1b/f1/d1/1bf1d14b70.jpg,66350,의류,하의,바지,스포츠의류,없음
1982451,TQB02,1259025468,[카드 5% 할인]닐바렛 (AK몰)(닐바렛)(닐바렛)엠보배색 지오메트릭 니트/BMA538V B618C 1595,http://image.g9.co.kr/g/1259025468/n,725760,의류,상의,니트,남성,기타
4657969,EE715,B640032062,[AK플라자]케이스위스 (AK플라자) 케이스위스  남성 트리코트 피케 저지세트4219FJ132,http://image.auction.co.kr/itemimage/18/1b/28/181b28b0e0.jpg,88450,의류,세트,세트,스포츠의류,없음
4661536,EE128,1703069977,푸마 92894902 단체 트레이닝복 수트 (14260337),http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/170/306/1703069977.jpg?ver=11363643559,87190,의류,세트,세트,스포츠의류,기타
4677851,EE715,B713379601,풋볼플레이 트랙 수트(65647115)/ 푸마,http://image.auction.co.kr/itemimage/19/a5/80/19a58021a0.jpg,40730,의류,세트,세트,스포츠의류,없음
2970789,TQB02,1719368862,[카드 5% 할인][롯데아이몰][파파브로] 남성 겨울 다운라이크 캐주얼 롱 패딩 점퍼 DW-LPD9-60M-블랙,http://image.g9.co.kr/g/1719368862/n,56520,의류,아우터,점퍼,남성,기타
3368053,TN118,1000032680048,[신세계백화점][19S/S] 여성 롱기장 사이드 로고포인트 방풍 DWWJ42911JJWJ,http://item.ssgcdn.com/48/00/68/item/1000032680048_i1_350.jpg,0,의류,아우터,점퍼,등산의류,F&F
4692801,EE128,1803838284,엠씨엔 [엠씨엔] 자전거의류 5종 오캄 긴팔+바지+백팩+잡화,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/180/383/1803838284.jpg?ver=10718304304,284490,의류,세트,세트,자전거의류,기타
1423020,ED901,1000043812572,578133 THV63 1000 20S 여성반팔,http://item.ssgcdn.com/72/25/81/item/1000043812572_i1_350.jpg,574600,의류,상의,티셔츠,여성,발렌시아가
3130732,EE128,1896674776,지오다노 [AK수원점][지오다노] 370905 크루넥 경량 다운자켓 (6344060),http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/189/667/1896674776.jpg?ver=11362259618,48690,의류,아우터,점퍼,여성,기타
4692223,TN920,3408054926,AK온라인몰 스페란자 반팔져지+5부타이즈 K56오렌지 의류세트 AKMALL,http://img4.tmon.kr/cdn3/deals/2020/09/19/3408054926/catlist_3col_v2_19ebe_mgdlw.jpg,115740,의류,세트,세트,자전거의류,없음
4052112,EE715,C205294829,푸마 Sak 푸마 23 캐쥬얼 후디(65698803),http://image.auction.co.kr/itemimage/1e/24/0b/1e240b8f30.jpg,41930,의류,상의,티셔츠,스포츠의류,없음
1481560,TLB17,13640720,[바보사랑]슈퍼크록 뉴 잭팟 클래식 티셔츠 민트 슈퍼크록 뉴 잭팟 클래식 티셔츠 민트,http://image.hnsmall.com/images/goods/720/13640720_g.jpg,33250,의류,상의,티셔츠,남녀공용,제이투컴퍼니
309035,EE715,B890199614,트라이 패션 트렁크 5종 1세트_P069456385,http://image.auction.co.kr/itemimage/1d/7d/c3/1d7dc3c680.jpg,14550,의류,언더웨어,남성 팬티,없음,없음
1563339,ED905,90531222,[라코스테 공식판매]  [라코스테] 남성 코튼 혼방 오토만 폴로 DH2881-20C_C31,https://photo.akmall.com/image2/goods/90/53/12/22/90531222_M_500.jpg,82770,의류,상의,티셔츠,남녀공용,동일드방레
4548421,ED904,29780599,[AK분당][아디다스 오리지널] EA2475 콘디보 20 트레이닝 팬츠,http://product-image.prod-nsmall.com/itemimg/9/29/599/29780599_N.jpg,45400,의류,하의,바지,스포츠의류,adidasAG/ 아디다스코리아(유)
2217732,ED905,90694280,[AK분당점]★2020F/W신상품★  [라코스테남성]테이퍼드핏 가을 슬랙스HH446E-20C(2컬러),https://photo.akmall.com/image0/goods/90/69/42/80/90694280_M_500.jpg,208050,의류,하의,바지,남성,(주)동일드방레
2943597,ED907,2101303642,"[씨티카드7.0%할인:781,580원~10/23][오프화이트] OWJG004E18952052 1001 여성 가죽자켓",https://imagessl.hyundaihmall.com/static/6/3/30/01/2101303642_0_140.jpg,840400,의류,아우터,자켓,여성,오프화이트
841520,TH201,2756397452,[현대백화점][CK 언더웨어]캘빈클라인 언더웨어 CK ONE 코튼 데미 브라+비키니 SET [QF5732AD/5735-100],http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/3/9/7/4/5/2/vFOJM/2756397452_B.jpg,0,의류,언더웨어,여성 세트,없음,PVH코리아
1117639,EE128,1799705890,스톤아일랜드 (AK몰)(스톤아일랜드)(스톤아일랜드) 721960208 V0020 남성 후드티셔츠,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/179/970/1799705890.jpg?ver=11251701200,534290,의류,상의,티셔츠,남성,기타
3719097,TP40F,P1335049224,밀레 여성 LD 메가쿨2 라운드 티셔츠 MVPUT-806 그레이,http://img1a.coupangcdn.com/image/vendor_inventory/ba3d/414302ee40760d5845183fddde8948820af16ee22861a350ca281bf2e40a.jpg,29400,의류,상의,티셔츠,등산의류,없음
2362965,EE715,B800130759,CP COMPANY CP컴퍼니 20SS 08CMPA119A 999 카고 팬츠,http://image.auction.co.kr/itemimage/1d/fd/94/1dfd94aea0.jpg,274150,의류,하의,바지,남성,없음
3828760,TN118,1000047933713,레터링 반팔 티셔츠 (32YA9156),http://item.ssgcdn.com/13/37/93/item/1000047933713_i1_350.jpg,15624,의류,상의,티셔츠,스포츠의류,한국미즈노 주식회사
806432,ED909,65037284,DB_ 비너스 C컵 D컵 블랙컬러 여름 쿨 속옷세트 VBR0920C VBR0920D VPT0920H,http://itemimage.cjmall.com/goods_images/65/284/65037284L.jpg?timestamp=20201023032227,78020,의류,언더웨어,여성 세트,없음,(주)신영와코루
3408773,TN920,3376877602,패션플러스 [밀레]밀레 남성 트릴로지 자켓 MXPUJ 106 블루 NO.1 패션전문 온라인몰,http://img4.tmon.kr/cdn3/deals/2020/04/09/3376877602/catlist_3col_v2_62ec0_y2ftn.jpg,0,의류,아우터,점퍼,등산의류,없음
1249622,TH201,2977595025,[에디션]V넥 면감이좋은긴팔티셔츠 NEA3TR1903(LGR),http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/5/9/5/0/2/5/jcnlT/2977595025_B.jpg,62510,의류,상의,티셔츠,남성,신성통상
3965375,TN920,3250414654,나이키 남성 NSW JDI 스우시 반팔티셔츠  AR5006 657  국내배송 나이키 정품 국내배송,http://img2.tmon.kr/cdn3/deals/2020/03/13/3250414654/catlist_3col_v2_7c667_x8rad.jpg,0,의류,상의,티셔츠,스포츠의류,없음
3792553,TP40F,P1469512687,머렐 하절 남성 배색포인트 기본 반팔 라운드 티셔츠 5219TR201 202 203 204,http://img1a.coupangcdn.com/image/vendor_inventory/8d59/c961695ed8782d2564145e4f5fcea9c7b85cf5b7184dc55979e2e61f5b26.jpg,0,의류,상의,티셔츠,등산의류,없음
3012804,EE128,1785974896,스톤아일랜드 [스톤아일랜드]20SS 721960107 V0029 쉐도우,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/178/597/1785974896.jpg?ver=10454833836,518040,의류,아우터,점퍼,남성,기타
1167979,ED905,87250742,[타미힐피거] [남성] 코튼 텍스쳐 컬러 블록 반소매 티셔츠 T12A1TPO150MT2 C7H,https://photo.akmall.com/image2/goods/87/25/07/42/87250742_M_500.jpg,0,의류,상의,티셔츠,남성,TOMMY HILFIGER
2058051,ED910,6814748750,[롯데백화점][몽클레르] 19FW 스팽글 로고 풀오버 캐시미어 니트 스웨터 9055850 A9234 988,http://openimage.interpark.com/goods_image/8/7/5/0/6814748750s.jpg,761460,의류,상의,니트,여성,몽클레어
1414393,ED910,7456277191,[현대백화점 부산점] 지오다노 320921 크루넥 맨투맨,http://openimage.interpark.com/goods_image/7/1/9/1/7456277191s.jpg,17150,의류,상의,티셔츠,여성,없음
541304,TH201,2690588134,리바이스바디웨어 투호스로고 노와이어 여팬티RD헴 LSWPV602,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/5/8/8/1/3/4/PFcyb/2690588134_B.jpg,10230,의류,언더웨어,여성 팬티,없음,(주)좋은사람들리바이스 바디웨어
476228,TLB17,18003001,[휠라언더웨어]FILA  숄토  솔리드 남성드로즈 블랙 (FI4DRC2409M_BLK) P078929719,http://image.hnsmall.com/images/goods/001/18003001_g.jpg,8840,의류,언더웨어,남성 팬티,없음,하프클럽
1558815,ED907,2102002090,[현대백화점] [타미진] 공용 코튼 박스로고 반소매 티셔츠(T32A1TTO063MT6) +할인쿠폰,https://imagessl.hyundaihmall.com/static/0/2/00/02/2102002090_0_140.jpg,0,의류,상의,티셔츠,남녀공용,(주) 한섬
3001202,ED903,1365985633,무스너클 [무스너클][유니코] 18FW 남성 웨스트 고어 롱 패딩 (MK8610_MMWP_310_18F),http://image2.lotteimall.com/goods/33/56/98/1365985633_1.jpg,1387720,의류,아우터,점퍼,남성,무스너클
2976771,EE128,1716628054,스톤아일랜드 스톤아일랜드 남성 크링클랩스 다운 다크그레이 패딩 711540223 V0067,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/171/662/1716628054.jpg?ver=11354816422,988400,의류,아우터,점퍼,남성,기타
2407389,EE128,1754566425,CP컴퍼니 렌즈 08CMBE211A 005694G 878 남자 카고 반바지/ 씨피컴퍼니,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/175/456/1754566425.jpg?ver=11348009712,151990,의류,하의,바지,남성,기타
1204824,ED908,63450823,[다나와 5% 추가할인][롯데백화점][타미진]공용 세르파 후드집업 T32A9TTO075MT2Y,http://image.gsshop.com/image/63/45/63450823_L1.jpg,119700,의류,상의,티셔츠,남성,상세참조
1171501,EE309,LE1203603678,프레드페리 [S/S상품] 플레인 프레드 페리 셔츠 [The Fred Perry Shirt] (906)AFPM2016000,https://contents.lotteon.com/itemimage/_v043910/LE/12/03/60/36/78/_1/21/88/32/89/9/LE1203603678_1218832899_1.jpg,0,의류,상의,티셔츠,남성,없음
3362264,ED903,1566574685,"머렐(레저) 여성 롱 기장 벤츠다운 5219OD450,451",http://image2.lotteimall.com/goods/85/46/57/1566574685_1.jpg,89210,의류,아우터,점퍼,등산의류,베트남
3474499,EE715,B703363992,케이스위스 케이스위스 신상바람막이 자켓 K292JK154RD,http://image.auction.co.kr/itemimage/19/74/57/1974579040.jpg,62690,의류,아우터,점퍼,스포츠의류,없음
2846143,ED901,1000042505972,흄 GD01 봄 트래커점퍼 F-HOS-CUV142-M (S5195163),http://item.ssgcdn.com/72/59/50/item/1000042505972_i1_350.jpg,65550,의류,아우터,자켓,남성,(주)케이브랜즈
4533958,ED908,56423521,[다나와 5% 추가할인][현대백화점]케이스위스  115PT4220 남성봄여름면폴리혼방져지조거팬츠트레이,http://image.gsshop.com/image/56/42/56423521_L1.jpg,38280,의류,하의,바지,스포츠의류,화승
1485732,TH201,2773641823,[현대백화점][캉골] 캉골 엑티브 티셔츠 2622 화이트 (의류/라운드티셔츠/반팔티),http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/20/6/4/1/8/2/3/Lvwgd/2773641823_B.jpg,44000,의류,상의,티셔츠,남녀공용,㈜에스제이그룹
3696979,TH201,1190745084,아덴 바이크 웨어 윈터 자켓 방풍 방한 져지 자전거 사이클 MTB 상의,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/17/7/4/5/0/8/4/1190745084_B.jpg,159900,의류,아우터,점퍼,자전거의류,상품상세설명 참조
1545018,EE128,1767688217,[현대백화점]캉골 (현대백화점)[캉골] 캉골 엑티브 티셔츠 2622 화이트,http://gdimg1.gmarket.co.kr/goods_image2/large_jpgimg/176/768/1767688217.jpg?ver=10926719078,41700,의류,상의,티셔츠,남녀공용,캉골
4624394,TH201,2054280716,[엠씨엔] MCN9부패드바지 블루마린 자전거의류 자전거바지 하의,http://cdn.011st.com/11dims/resize/300x300/quality/75/11src/pd/18/2/8/0/7/1/6/IukKE/2054280716_B.jpg,0,의류,하의,바지,자전거의류,상품상세설명 참조
